config_name,shift_type,dataset,backbone,setup,test_accuracy,augrc_mean,filename
Corruption_tissuemnist_resnet18_Baseline,Corruption,tissuemnist,resnet18,S,0.45266497461928934,0.22804367266255537,uq_benchmark_tissuemnist_resnet18_corrupt_severity3_test_20260115_170423.json
Corruption_tissuemnist_vit_b_16_DA,Corruption,tissuemnist,vit_b_16,DA,0.6466793570219966,0.11969149145852477,uq_benchmark_tissuemnist_vit_b_16_DA_corrupt_severity3_test_20260116_232453.json
Corruption_tissuemnist_vit_b_16_DADO,Corruption,tissuemnist,vit_b_16,DADO,0.6434433164128596,0.12189002058872372,uq_benchmark_tissuemnist_vit_b_16_DADO_corrupt_severity3_test_20260117_165131.json
Corruption_tissuemnist_vit_b_16_DO,Corruption,tissuemnist,vit_b_16,DO,0.6094754653130288,0.13933863645961275,uq_benchmark_tissuemnist_vit_b_16_DO_corrupt_severity3_test_20260117_083742.json
Corruption_tissuemnist_vit_b_16_Baseline,Corruption,tissuemnist,vit_b_16,S,0.6031514382402707,0.14567488439644585,uq_benchmark_tissuemnist_vit_b_16_corrupt_severity3_test_20260116_154613.json
ID_bloodmnist_resnet18_DA,ID,bloodmnist,resnet18,DA,0.9918152586962876,0.0006467439233285911,uq_benchmark_bloodmnist_resnet18_DA_20260116_101925.json
ID_bloodmnist_resnet18_DADO,ID,bloodmnist,resnet18,DADO,0.9891844489915229,0.0007604303799263831,uq_benchmark_bloodmnist_resnet18_DADO_20260116_113919.json
ID_bloodmnist_resnet18_DO,ID,bloodmnist,resnet18,DO,0.9883075124232681,0.0007034803436073799,uq_benchmark_bloodmnist_resnet18_DO_20260116_105046.json
ID_bloodmnist_resnet18_Baseline,ID,bloodmnist,resnet18,S,0.9900613855597779,0.0007067273074185168,uq_benchmark_bloodmnist_resnet18_20260116_095229.json
ID_bloodmnist_vit_b_16_DA,ID,bloodmnist,vit_b_16,DA,0.9903536977491961,0.0005736445143699942,uq_benchmark_bloodmnist_vit_b_16_DA_20260117_102539.json
ID_bloodmnist_vit_b_16_DADO,ID,bloodmnist,vit_b_16,DADO,0.9912306343174511,0.0005630064355677176,uq_benchmark_bloodmnist_vit_b_16_DADO_20260116_151436.json
ID_bloodmnist_vit_b_16_DO,ID,bloodmnist,vit_b_16,DO,0.9906460099386144,0.0005337837612674999,uq_benchmark_bloodmnist_vit_b_16_DO_20260116_141754.json
ID_bloodmnist_vit_b_16_Baseline,ID,bloodmnist,vit_b_16,S,0.9915229465068693,0.0006058578132331025,uq_benchmark_bloodmnist_vit_b_16_20260116_123205.json
ID_breastmnist_resnet18_DA,ID,breastmnist,resnet18,DA,0.9166666666666666,0.027017587113740978,uq_benchmark_breastmnist_resnet18_DA_20260114_155112.json
ID_breastmnist_resnet18_DADO,ID,breastmnist,resnet18,DADO,0.8910256410256411,0.027633957922419478,uq_benchmark_breastmnist_resnet18_DADO_20260114_155909.json
ID_breastmnist_resnet18_DO,ID,breastmnist,resnet18,DO,0.8910256410256411,0.029852892833662083,uq_benchmark_breastmnist_resnet18_DO_20260114_155311.json
ID_breastmnist_resnet18_Baseline,ID,breastmnist,resnet18,S,0.9102564102564102,0.01910749506903353,uq_benchmark_breastmnist_resnet18_20260114_154918.json
ID_breastmnist_vit_b_16_DA,ID,breastmnist,vit_b_16,DA,0.8653846153846154,0.031208908612754757,uq_benchmark_breastmnist_vit_b_16_DA_20260114_161026.json
